startup_name,year_died,funding_burned_usd,category,failure_reason,headquarters,founded,investors,source
Grofers (Rebranded),2021,500000000,Grocery Delivery,Massive pivot to Blinkit after years of losses,Gurugram,2013,"SoftBank, Tiger Global, Sequoia",News reports
WhiteHat Jr (Crisis),2022,300000000,EdTech,"Byju's acquisition led to layoffs, brand struggling",Mumbai,2018,"Byju's, Nexus, Omidyar",News reports
AskMe,2016,300000000,Local Search / E-commerce,"Investor Astro Holdings pulled out, massive shutdown",Delhi NCR,2010,"Astro Holdings, Helion Ventures",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Vedantu (Layoffs),2022,290000000,EdTech,"Mass layoffs, funding crunch, pivot attempts",Bangalore,2014,"GGV, Tiger Global, Coatue",News reports
Jabong,2018,220000000,Fashion E-commerce,Brand discontinued after Flipkart acquisition of Myntra,Gurugram,2012,"Rocket Internet, CDC Group",News reports
Taxiforsure,2017,200000000,Ride-hailing,"Acquired by Ola for $200M, brand discontinued",Bangalore,2011,"Accel, Bessemer, Helion",News reports
Uber Eats India,2020,200000000,Food Delivery,"Sold to Zomato, exited India food delivery market",Bangalore,2017,Uber,News reports
Droom (IPO Failed),2019,125000000,Auto E-commerce,"IPO shelved multiple times, heavy losses",Gurugram,2014,"Lightbox, Beenext, Toyota",News reports
Housing.com (Crisis),2015,120000000,PropTech / Real Estate,"CEO Rahul Yadav fired, company later sold to Proptech group",Mumbai,2012,"SoftBank, Falcon Edge, Helion",News reports
Foodpanda India,2020,100000000,Food Delivery,"Ola sold Foodpanda, couldn't compete with Swiggy/Zomato",Gurugram,2012,"Rocket Internet, Ola",News reports
PepperTap,2016,51000000,Grocery Delivery,"Hyperlocal grocery model unsustainable, shut down operations",Gurugram,2014,"Sequoia Capital, SAIF Partners, Snapdeal",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Yepme,2018,50000000,Fashion E-commerce,"Failed to compete, shifted to B2B model",Gurugram,2011,"Helion, Nexus VP",News reports
Stayzilla,2017,34000000,Travel / Homestays,"Shut down amid legal troubles, founder arrested",Chennai,2005,"Matrix Partners, Nexus VP",News reports
Staples India,2019,30000000,Office Supplies E-commerce,Shut Indian operations after years of losses,Delhi NCR,2011,Staples Inc,News reports
FrontRow,2023,30000000,EdTech,Celebrity learning platform shut down,Bangalore,2020,"GSV, Lightspeed, Eight Roads",News reports
TinyOwl,2016,27000000,Food Delivery,"Acquired by Runnr after massive layoffs, effectively shut",Mumbai,2014,"Sequoia Capital, Matrix Partners, Nexus VP",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Flipkart Ping,2016,20000000,Social Messaging,Flipkart's social chat feature discontinued,Bangalore,2015,Flipkart (Internal),https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Lido Learning,2023,20000000,EdTech,Shut operations amid EdTech crash,Mumbai,2019,"Ronnie Screwvala, BAce Capital",News reports
LocalBanya,2016,10000000,Grocery Delivery,"Ran out of funds, couldn't compete in hyperlocal space",Mumbai,2012,Kalaari Capital,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Fashionara,2016,9000000,Fashion E-commerce,"Failed to compete with Myntra, Jabong; shut down",Bangalore,2012,"Helion Ventures, Accel Partners",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Frankly.me,2016,5000000,Social Media / Celeb Platform,Celebrity video Q&A platform failed to monetize,Gurugram,2014,"Nexus VP, Qualcomm Ventures",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Dazo,2016,5000000,Food Delivery,Food delivery startup shut down amid intense competition,Bangalore,2015,"Matrix Partners, Flipkart co-founders",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Spoonjoy,2016,3000000,Food Delivery,"Food tech startup couldn't scale, shut operations",Mumbai,2014,"SAIF Partners, Grofers founders",https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
Autowale,2016,2000000,Auto Booking,Auto-rickshaw booking app shut due to unit economics,Pune,2012,Angel investors,https://economictimes.indiatimes.com/small-biz/startups/10-startups-that-shut-down-in-2016/articleshow/56022024.cms
